财务部考核方案-岗位名称,财务部考核方案-姓名,财务部考核方案-基本工资,财务部考核方案-考核项目,财务部考核方案-考核项目.1,财务部考核方案-考核项目.2,财务部考核方案-考核项目.3,财务部考核方案-考核项目.4,财务部考核方案-考核标准,财务部考核方案-考核标准.1,财务部考核方案-考核标准.2,财务部考核方案-权重,提成办法
财务经理,,1100元,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,1、及时正确填制每月转帐类凭证,1、及时正确填制每月转帐类凭证,1、及时正确填制每月转帐类凭证,2%,绩效工资1000元
财务经理,,1100元,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,2、及时、认真审核现金、银行类凭证,2、及时、认真审核现金、银行类凭证,2、及时、认真审核现金、银行类凭证,3%,绩效工资1000元
财务经理,,1100元,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,3、及时、认真审核DAIS系统录入凭证,3、及时、认真审核DAIS系统录入凭证,3、及时、认真审核DAIS系统录入凭证,3%,绩效工资1000元
财务经理,,1100元,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,负责转账凭证填制，凭证审核、记帐,4、及时指出现金、银行类凭证错误原因并帮助出纳更正, 4、及时指出现金、银行类凭证错误原因并帮助出纳更正 , 4、及时指出现金、银行类凭证错误原因并帮助出纳更正 ,2%,绩效工资1000元
财务经理,,1100元,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,1、每月6日前编制外部帐财务报表，7日前编制内部帐财务报表, 1、每月6日前编制外部帐财务报表，7日前编制内部帐财务报表 , 1、每月6日前编制外部帐财务报表，7日前编制内部帐财务报表 ,5%,绩效工资1000元
财务经理,,1100元,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,2、每月10日前向管理层报送上月汇总费用报表、各项经营指标完成情况表,2、每月10日前向管理层报送上月汇总费用报表、各项经营指标完成情况表,2、每月10日前向管理层报送上月汇总费用报表、各项经营指标完成情况表,5%,绩效工资1000元
财务经理,,1100元,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,3、每月3日前、季后12日前、年后15日前向统计局报送统计报表,3、每月3日前、季后12日前、年后15日前向统计局报送统计报表,3、每月3日前、季后12日前、年后15日前向统计局报送统计报表,5%,绩效工资1000元
财务经理,,1100元,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,负责公司财务报表的编制、报送,4、每月15日前向东风日产经营管理科和水平事业开发部报送上月财务报表,4、每月15日前向东风日产经营管理科和水平事业开发部报送上月财务报表,4、每月15日前向东风日产经营管理科和水平事业开发部报送上月财务报表,5%,绩效工资1000元
财务经理,,1100元,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,1、设置普通发票领用登记簿进行发票购买领用情况登记,1、设置普通发票领用登记簿进行发票购买领用情况登记,1、设置普通发票领用登记簿进行发票购买领用情况登记,3%,绩效工资1000元
财务经理,,1100元,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,负责维修发票、货物发票管理,2、核查发票购买、领用、开具情况,2、核查发票购买、领用、开具情况,2、核查发票购买、领用、开具情况,2%,绩效工资1000元
